Purely Plant — Batch QC Testing Results Register
"One row per batch · consolidated from eCoA_DATABASE (291 certificates, complete mirror of the ingestion folder) · CoQ-forming value = latest release-type result from a laboratory scoped for the parameter · stability results excluded · values exactly as printed on the certificate; units in headers only · built 27.08.2026"

No.,Production,Tranche,Batch No. (cultivation),P-number,Strain,Product code,CoQ doc. code (proposed),First result,Latest result,# eCoAs,Total Δ9-THC [%],Total CBD [%],Total CBN [%],Loss on Drying [%],Foreign Matter [%],Macroscopic ID,Microscopic ID,Identification (HPTLC),TAMC [CFU/g],TYMC [CFU/g],Bile-tolerant GNB [CFU/g],Salmonella [/25 g],E. coli [/1 g],Total Aflatoxins [µg/kg],Aflatoxin B1 [µg/kg],Ochratoxin A [µg/kg],Lead (Pb) [mg/kg],Cadmium (Cd) [mg/kg],Arsenic (As) [mg/kg],Mercury (Hg) [mg/kg],Pesticide Residues
,,,,,,A.C. →,,,,,per target grade (QCSP 001 §01),≤ 1.0,≤ 1.0,≤ 12.0,≤ 2.0,Conforms to description,Conforms to description,Identity confirmed,≤ 10^5,≤ 10^4,≤ 10^4,Absence /25 g,Absence /1 g,≤ 4,≤ 2,≤ 20,≤ 0.5,≤ 0.3,≤ 0.2,≤ 0.1,≤ LOQ (Ph. Eur. 2.8.13)
47,,3,J31112501,,Jokerz 31,,,02.03.2026,09.04.2026,6,20.21,<LOQ,<LOQ,"7,6",,,,,,,,,,,,,,,,,
48,2025-10,2,KC102501,P060172,Kush Crasher,KC_THC17.5:CBD1,CoQ-PP-2026-0048,02.03.2026,04.03.2026,2,17.04,,<LOQ,"8,6",,,,,,,,,,,,,,,,,
49,2025-10,3,SJ102501,P060162,Sleepy Joy,SJ_THC10.5:CBD1,CoQ-PP-2026-0049,02.03.2026,04.03.2026,2,11.20,<LOQ,<LOQ,"7,8",,,,,,,,,,,,,,,,,
50,2025-11,3,SJ112501,P060192,Sleepy Joy,SJ_THC10.5:CBD1,CoQ-PP-2026-0050,02.03.2026,04.03.2026,2,9.20,<LOQ,<LOQ,"6,7",,,,,,,,,,,,,,,,,
51,2025-11,3,OPM112501,P060222,Orange Punch Mimosa,OPM_THC10:CBD1,CoQ-PP-2026-0051,05.03.2026,05.03.2026,1,8.00,,0.01,8.06,,,,,,,,,,,,,,,,,
52,2025-11,2,PM112501,P060232,Permanent Marker,PM_THC11.5:CBD1,CoQ-PP-2026-0052,05.03.2026,05.03.2026,1,13.33,,0.01,8.61,,,,,,,,,,,,,,,,,
53,2025-12,3,J31122501,P060262,Jokerz 31,J31_THC20:CBD1,CoQ-PP-2026-0054,07.04.2026,23.04.2026,6,19.84,<LOQ,<LOQ,,,,,,1900,840,,Одговара,Одговара,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Н.д.
54,2025-12,1,OPM122501,P060242,Orange Punch Mimosa,OPM_THC10:CBD1,CoQ-PP-2026-0055,07.04.2026,10.08.2026,6,7.91,<LOQ,<LOQ,"6,6",,,,,120,100,< 10,Одговара,Одговара,"2,2",ND,Н.Д.,"0,049","0,165",Н.Д.,Н.Д.,Н.Д.
55,2025-11,3,CC112501,P060272,Cash Cow,CC_THC13:CBD1,CoQ-PP-2026-0056,28.04.2026,11.05.2026,3,13.35,0.04,BLQ,7.39,,,,,"3,8 x 10^3","2,7 x 10^3",<10^3 и >10^2,отсутна/25,отсутна/g,< 2,N.D.,N.D.,"0,0289","0,0119","0,016","0,0102",N.D.
56,2026-01,2,FB012601_1,P060322,Fat Bastard,FB_THC16.5:CBD1,CoQ-PP-2026-0061,28.04.2026,11.05.2026,3,14.68,,,7.67,,,,,2 x 10³,"2,1 x 10³",< 10,отсутна/25,отсутна/g,< 2,N.D.,N.D.,"0,0114","0,017","0,0144","0,0155",Не одговара
