Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
3229,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,2.1×10⁴,472/0863/25,22.05.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,< 10 (564/1095/26)
3230,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,1.9×10⁴,472/0863/25,22.05.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — UNDETERMINED — pending the QCSP 001 reading,,< 10 (564/1095/26)
3231,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,<10,472/0863/25,22.05.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,< 10 (564/1095/26)
3232,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Одговара (absent),472/0863/25,22.05.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,Одговара (absent) (564/1095/26)
3233,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Одговара (absent),472/0863/25,22.05.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,Одговара (absent) (564/1095/26)
3234,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
3235,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
3236,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3237,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3238,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3239,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,N.D.,2472/2025,30.05.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3240,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,N.D.,2472/2025,30.05.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3241,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,N.D.,2472/2025,30.05.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3242,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,N.D.,2472/2025,30.05.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3243,(assigned on issue),additional testing (12-month) — predicted,30.05.2026,≥ 11.09.2026,P050012,GG1024_02,Gorilla Glue,,(assigned on issue),12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D.,2472/2025,30.05.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3244,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,"Farmahem — Ident A + B + C with the Assay, at retest",
3245,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,"Farmahem — Ident A + B + C with the Assay, at retest",
3246,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,227-29-К/26,11.09.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
3247,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),"26.07 – 29.92 %  (grade I, nominal 28.00 ± 1.93)",26.10,227-29-К/26,11.09.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
3248,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",<LOQ,227-29-К/26,11.09.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
3249,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",0.20,227-29-К/26,11.09.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
3250,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
3251,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),8,,Loss on Drying,Губиток при сушење,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,6.38,ППК25176,10.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3252,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,<10,626/1127/25,02.07.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,10 (561/1092/26)
3253,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,<10,626/1127/25,02.07.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,20 (561/1092/26)
3254,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,<10,626/1127/25,02.07.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,< 10 (561/1092/26)
3255,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Одговара (absent),626/1127/25,02.07.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,Одговара (absent) (561/1092/26)
3256,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Одговара (absent),626/1127/25,02.07.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,Одговара (absent) (561/1092/26)
3257,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
3258,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
3259,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3260,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3261,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3262,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,N.D.,3177/2025,26.06.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3263,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,N.D.,3177/2025,26.06.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3264,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.112,3177/2025,26.06.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3265,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,N.D.,3177/2025,26.06.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3266,(assigned on issue),additional testing (12-month) — predicted,10.07.2026,≥ 11.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,,(assigned on issue),12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D.,3177/2025,26.06.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3267,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,"Farmahem — Ident A + B + C with the Assay, at retest",
3268,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,"Farmahem — Ident A + B + C with the Assay, at retest",
3269,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,227-11-К/26,11.09.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
3270,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),"15.40 – 18.59 %  (grade II, nominal 17.00 ± 1.60)",17.83,227-11-К/26,11.09.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
3271,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",<LOQ,227-11-К/26,11.09.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
3272,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",<LOQ,227-11-К/26,11.09.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
3273,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
3274,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),8,,Loss on Drying,Губиток при сушење,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,8.28,ППК25257,05.09.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3275,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,1.2×10⁴,904/1589/25,02.09.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,< 10 (560/1091/26)
3276,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,3.3×10⁴,904/1589/25,02.09.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — OUT OF SPECIFICATION,,< 10 (560/1091/26)
3277,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,<10,904/1589/25,02.09.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,< 10 (560/1091/26)
3278,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Одговара (absent),904/1589/25,02.09.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,Одговара (absent) (560/1091/26)
3279,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Одговара (absent),904/1589/25,02.09.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,Одговара (absent) (560/1091/26)
3280,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
3281,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
3282,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3283,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3284,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,awaiting the mycotoxin re-analysis — Farmahem,,
3285,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,N.D.,4157/2025,29.08.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3286,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,N.D.,4157/2025,29.08.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3287,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,N.D.,4157/2025,29.08.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3288,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,N.D.,4157/2025,29.08.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3289,(assigned on issue),additional testing (12-month) — predicted,05.09.2026,≥ 11.09.2026,P050132,OPM052501,Orange Punch Mimosa,,(assigned on issue),12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D.,4157/2025,29.08.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered,,
3290,(assigned on issue),additional testing (12-month) — predicted,17.09.2026,≥ 11.09.2026,P050172,CJ052501-2,Cup Junky,,(assigned on issue),1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,"Farmahem — Ident A + B + C with the Assay, at retest",
