key,cu_batch,p_batch,series,coq_code,issue_date,rule_date,icoa_ref,icoa_issue_date,issuable
P060042|I,OPM092501,P060042,initial release,CoQ-PP_26-040,27.05.2026,27.05.2026,iCoA-PP_26-040,15.05.2026,yes
P060052|I,AB092501,P060052,initial release,CoQ-PP_26-041,27.05.2026,27.05.2026,iCoA-PP_26-041,15.05.2026,yes
P060062|I,PM092501,P060062,initial release,CoQ-PP_26-042,27.05.2026,27.05.2026,iCoA-PP_26-042,15.05.2026,yes
P060072|I,CJ092501,P060072,initial release,CoQ-PP_26-043,27.05.2026,27.05.2026,iCoA-PP_26-043,15.05.2026,yes
P060082|I,SJ0925021,P060082,initial release,CoQ-PP_26-044,27.05.2026,27.05.2026,iCoA-PP_26-044,15.05.2026,yes
P060092|I,GP092501,P060092,initial release,CoQ-PP_26-045,27.05.2026,27.05.2026,iCoA-PP_26-045,15.05.2026,yes
P060102|I,WED102501,P060102,initial release,CoQ-PP_26-046,27.05.2026,27.05.2026,iCoA-PP_26-046,15.05.2026,yes
P060142|I,GRC102501,P060142,initial release,CoQ-PP_26-047,27.05.2026,27.05.2026,iCoA-PP_26-047,15.05.2026,yes
P060152|I,J31102501,P060152,initial release,CoQ-PP_26-048,27.05.2026,27.05.2026,iCoA-PP_26-048,15.05.2026,yes
P060162|I,SJ102501,P060162,initial release,CoQ-PP_26-049,27.05.2026,27.05.2026,iCoA-PP_26-049,15.05.2026,yes
P060172|I,KC102501,P060172,initial release,CoQ-PP_26-050,27.05.2026,27.05.2026,iCoA-PP_26-050,15.05.2026,yes
P060182|I,GRC102501,P060182,initial release,CoQ-PP_26-051,27.05.2026,27.05.2026,iCoA-PP_26-051,15.05.2026,yes
